
3i Group,III
Admiral Group,ABF
Anglo American,ADM
Antofagasta,ANTO
Ashtead Group,AHT
AstraZeneca,AZN
Aviva,AV.
BAE Systems,BA.
BHP Billiton,BLT
BP,BP.
BT Group,BT.A
Barclays,BARC
Barratt Developments,BDEV
British Land Co,BLND
Burberry Group,BRBY
CRH,CRH
Capita,CPI
Carnival,CCL
Centrica,CNA
Coca-Cola HBC AG,CCH
Compass Group,CPG
ConvaTec Group,CTEC
Diageo,DGE
Direct Line Insurance Group,DLG
Dixons Carphone,DC
Experian,EXPN
Fresnillo,FRES
GKN,GKN
GlaxoSmithKline,GSK
Glencore,GLEN
HSBC Holdings,HSBA
Hammerson,HMSO
Hargreaves Lansdown,HL.
Hikma Pharmaceuticals,HIK
ITV,ITV
Imperial Brands,IMB
Informa,INF
InterContinental Hotels Group,IHG
Intertek Group,ITRK
Intu Properties,INTU
Johnson Matthey,JMAT
Kingfisher,KGF
Land Securities Group,LAND
Legal & General Group,LGEN
Lloyds Banking Group,LLOY
London Stock Exchange Group,LSE
Marks & Spencer Group,MKS
Mediclinic International,MDC
Merlin Entertainments,MERL
Micro Focus International,MCRO
Morrison (Wm) Supermarkets,MRW
National Grid,NG.
Next,NXT
Old Mutual,OML
Paddy Power Betfair,PPB
Pearson,PSON
Persimmon,PSN
Provident Financial,PFG
RELX,REL
RSA Insurance Group,RSA
Reckitt Benckiser Group,RB.
Rio Tinto,RIO
Rolls-Royce Holdings,RR.
Royal Bank of Scotland Group (The),RBS
Royal Dutch Shell,RDSB
Royal Mail,RMG
SSE,SSE
Sage Group (The),SGE
Sainsbury (J),SBRY
Schroders,SDR
Severn Trent,SVT
Shire,SHP
Sky,SKY
Smith & Nephew,SN.
Smiths Group,SMIN
Smurfit Kappa Group,SKG
Standard Chartered,STAN
Standard Life,SL.
TUI AG,TUI
Taylor Wimpey,TW.
Tesco,TSCO
Unilever,ULVR
United Utilities Group,UU.
Vodafone Group,VOD
WPP,WPP
Whitbread,WTB
Wolseley,WOS
Worldpay Group,WPG
easyJet,EZJ
